,SizeRank,ZipCode,State,City,1/31/2018,1/31/2019,1/31/2020,1/31/2021,1/31/2022,1/31/2023,12/31/2023
762,9596.0,78557.0,TX,Hidalgo,107476.2409,110634.1178,119587.5239,133607.5794,152322.5209,174218.1815,
763,9602.0,75428.0,TX,Commerce,108574.4591,120603.7303,132736.6852,150918.1926,190835.0572,206253.5778,
764,9651.0,78945.0,TX,La Grange,219909.3719,230133.6152,249669.1895,287942.8536,335924.5445,358033.3397,
765,9677.0,76102.0,TX,Fort Worth,230948.4399,234116.9271,243815.0506,254990.1833,294746.5985,313151.6113,
766,9715.0,76537.0,TX,Jarrell,202189.6019,207896.6625,205580.8661,220263.8617,291708.0005,308781.9811,
767,9755.0,78202.0,TX,San Antonio,86917.2943,105681.844,118979.2234,143954.1923,161553.499,177916.5361,
768,9766.0,78756.0,TX,Austin,528439.4649,537178.3415,576568.299,649896.1856,779740.4216,827538.9673,
769,9787.0,75021.0,TX,Denison,139063.8948,149756.8737,162897.1103,183742.9736,219565.2522,241858.1531,
770,9790.0,78016.0,TX,Devine,148755.0784,155231.8248,170838.8232,183695.8814,221124.9876,224927.2621,
771,9791.0,79070.0,TX,Perryton,110199.3691,112240.6176,113997.897,118253.8359,126462.3971,117927.4289,
772,9794.0,78390.0,TX,Taft,104979.5237,109024.7416,123737.4465,129583.7639,133188.3964,126489.0038,
773,9797.0,77518.0,TX,Bacliff,143687.2973,152054.8228,154467.9605,168612.2763,194002.089,211751.5245,
774,9800.0,76273.0,TX,Whitesboro,160318.1703,174524.7317,187143.2115,213877.2935,269326.7646,291915.2316,
775,9804.0,77995.0,TX,Yoakum,122389.4435,129459.298,146209.9182,155924.8582,187961.8464,193014.6411,
776,9813.0,75114.0,TX,Crandall,174782.1885,184383.882,194726.5717,211481.9274,268139.6277,287744.9918,
777,9820.0,78112.0,TX,Elmendorf,159877.7796,168105.0336,171217.9494,190423.3366,212072.6281,229430.6425,
778,9849.0,79102.0,TX,Amarillo,100554.3095,103860.7856,108755.0592,118517.034,133301.5699,145715.0698,
779,9865.0,78408.0,TX,Corpus Christi,78003.20921,78811.88352,89842.67731,98798.18936,100647.0144,94600.31161,
780,9892.0,78942.0,TX,Giddings,175137.8878,189522.5378,203512.5817,224553.6637,272397.3891,278934.928,
781,9908.0,76711.0,TX,Waco,80784.41845,85004.16125,92222.54686,107845.943,125716.5858,146909.5805,
782,9921.0,78730.0,TX,Austin,684157.2609,712458.3486,757395.8607,889910.7662,1097459.755,1142374.673,
783,9926.0,78063.0,TX,Pipe Creek,206301.521,231103.5435,236370.5795,262885.3993,314325.9874,338403.3531,
784,9946.0,75708.0,TX,Tyler,105402.6336,107158.7102,111340.3692,121733.4698,143379.6342,155134.192,
785,9971.0,75182.0,TX,Sunnyvale,447235.5568,459581.7888,470856.2687,499527.535,580552.6888,635996.8004,
786,10030.0,78362.0,TX,Ingleside,158160.5884,164746.7455,174220.5831,179900.7332,198640.948,212243.4174,
787,10058.0,78834.0,TX,Carrizo Springs,90820.27028,92381.40983,98860.59196,102674.8992,110803.4922,108892.0177,
788,10085.0,79103.0,TX,Amarillo,98004.57272,98775.66784,104075.7468,114989.072,128700.8892,142106.0664,
789,10112.0,75789.0,TX,Troup,153667.515,159531.0914,175121.0968,199512.9189,240744.7258,258563.8613,
790,10112.0,79382.0,TX,Wolfforth,178767.9725,190391.4948,185820.288,201603.3745,236140.851,255448.6786,
791,10118.0,76567.0,TX,Rockdale,126331.3636,148418.826,157208.4389,167660.3281,203692.052,219669.3626,
792,10145.0,77418.0,TX,Bellville,238600.9425,252222.04,258810.0767,283895.8252,337231.0269,359374.9452,
793,10151.0,76446.0,TX,Dublin,126167.5977,141533.7766,150308.5269,165711.3131,210646.9638,235642.2791,
794,10158.0,75210.0,TX,Dallas,58468.64456,70640.90079,80705.43506,95551.78091,105040.6141,135086.3679,
795,10168.0,76667.0,TX,Mexia,81964.30948,83981.22233,88323.56401,96973.73057,116276.0857,129937.0069,
796,10210.0,79401.0,TX,Lubbock,112219.2864,119689.9806,116023.9662,129928.8372,147423.346,163683.7131,
797,10301.0,76539.0,TX,Copperas Cove,196165.522,215449.1481,228043.1659,253073.4624,313474.6645,347396.8654,
798,10303.0,78003.0,TX,Bandera,195726.6741,217716.7345,229169.5661,258214.8884,314563.463,340366.8197,
799,10305.0,79404.0,TX,Lubbock,64209.40471,68358.12168,67032.16085,79000.52278,81654.62222,96173.26324,
800,10307.0,78652.0,TX,Austin,323579.1276,336282.716,353479.087,406941.439,521650.2923,539821.3166,
801,10381.0,78957.0,TX,Smithville,203621.1863,214545.5652,226258.9502,252341.3814,320948.4108,349240.1626,
802,10382.0,75125.0,TX,Ferris,158741.0149,174550.9254,186067.8965,210323.6585,242768.3763,253714.2674,
803,10452.0,78639.0,TX,Kingsland,253236.52,270429.957,288246.414,330410.3591,446632.2616,483156.9129,
804,10460.0,75135.0,TX,Caddo Mills,209010.2428,228852.8172,246181.4961,271915.2951,334667.5023,357697.3567,
805,10484.0,78231.0,TX,San Antonio,317127.5936,331991.0847,338056.812,364113.0663,406486.4936,435764.1166,
806,10508.0,75161.0,TX,Terrell,183946.3262,197878.0895,212264.2368,240541.9121,310752.3774,331172.8766,
807,10524.0,75758.0,TX,Chandler,179978.1864,188778.7479,186735.7006,207704.6757,251659.6568,268541.1233,
808,10543.0,77480.0,TX,Sweeny,166395.5493,175006.3686,179971.8737,191566.914,223489.8322,229727.5029,
809,10549.0,76655.0,TX,Lorena,213802.8846,225534.3432,240504.4252,267828.9618,319526.273,352762.5287,
810,10554.0,75495.0,TX,Van Alstyne,251255.442,267795.7875,277334.011,302612.608,375148.6836,411316.2845,
811,10555.0,77554.0,TX,Galveston,327902.319,343196.6433,356903.5933,405404.6105,527164.6616,576826.1035,
812,10556.0,76571.0,TX,Salado,321769.5476,339666.6914,357653.8352,392706.5177,480843.6329,528513.1982,
813,10590.0,79766.0,TX,Odessa,194081.6158,212627.555,241463.4535,248718.2628,251410.7801,243869.4343,
814,10596.0,75949.0,TX,Huntington,154222.0706,157160.1665,174170.9324,191782.9054,228402.3653,220715.7842,
815,10601.0,77964.0,TX,Hallettsville,219956.9642,236328.1966,257497.247,272653.5175,333363.5122,339400.2778,
816,10613.0,76692.0,TX,Whitney,115098.5543,126027.2115,141002.1098,161439.2589,194710.3558,211114.8969,
817,10635.0,76249.0,TX,Krum,236853.165,247592.8455,253629.491,276393.8652,332008.0656,354621.6755,
818,10711.0,78578.0,TX,Port Isabel,161913.4297,163185.1351,158120.691,171665.3157,218345.6683,246400.7132,
819,10727.0,76060.0,TX,Kennedale,269613.5055,277287.6718,290502.3341,314201.4553,364674.4813,395855.2205,
820,10756.0,79830.0,TX,Alpine,168470.6086,175650.7045,182880.2849,198851.6109,231646.1297,247213.0929,
821,10798.0,79512.0,TX,Colorado City,70666.44,71418.41666,75452.03636,81595.27605,90451.51064,88251.78025,
822,10807.0,79911.0,TX,El Paso,244028.0463,247123.3141,254943.4817,272780.7057,317551.4074,342674.7863,
823,10832.0,78648.0,TX,Luling,144387.4244,155828.9844,167381.9894,187657.9968,228488.654,244967.3864,
824,10842.0,78124.0,TX,Marion,258589.7574,269590.1526,282596.7096,304902.944,376965.7327,388756.094,
825,10850.0,78368.0,TX,Mathis,96598.73057,97409.41766,106494.3771,110789.9959,116261.3676,112629.5175,
826,10904.0,75941.0,TX,Diboll,115098.3959,119492.8811,134258.8558,147155.1379,168136.3301,172464.1397,
827,10916.0,76520.0,TX,Cameron,116892.594,133253.0349,146828.1206,152852.3605,179205.5479,187589.6401,
828,10943.0,76424.0,TX,Breckenridge,70939.28137,77277.55168,81456.95938,90026.86946,109754.2384,122445.0687,
829,10966.0,75754.0,TX,Ben Wheeler,177432.1159,184158.0719,201513.8806,226423.4148,294855.7446,287700.6452,
830,10973.0,76258.0,TX,Pilot Point,234974.549,252433.596,265364.0916,295795.5249,360271.4617,396940.3639,
831,10978.0,78009.0,TX,Castroville,250276.1884,273189.3516,295750.4679,321217.4686,382197.6428,391649.5686,
832,10980.0,78101.0,TX,Adkins,271890.6142,280017.5392,297233.5267,331619.3175,386236.2776,413060.3321,
833,11000.0,76023.0,TX,Boyd,227255.398,242747.8862,274995.3261,304050.063,374588.2561,394217.4477,
834,11025.0,76050.0,TX,Grandview,184597.5038,199960.5131,226432.0051,259025.555,324765.4407,360235.5897,
